word,part_of_speech,english_word,sense
여친,noun,girlfriend,a female partner in a romantic relationship
걸프렌드,noun,girlfriend,a female partner in a romantic relationship
주다,verb,give,transfer the possession of something to someone else
드리다,verb,give,transfer the possession of something to someone else
유리,noun,glass,substance
류리,noun,glass,substance
가다,verb,go,to move through space (especially from one place to another)
좋다,adj,good,acting in the interest of good; ethical good intentions
좋은,adj,good,acting in the interest of good; ethical good intentions
작별,noun,goodbye,an utterance of goodbye
할아버지,noun,grandfather,grandfather (from either side)
친할아버지,noun,grandfather,grandfather (from either side)
외할아버지,noun,grandfather,grandfather (from either side)
할머니,noun,grandmother,mother of someone's parent
외할머니,noun,grandmother,mother of someone's parent
회색,noun,gray,colour
크다,adj,great,"very big, large scale"
거대하다,adj,great,"very big, large scale"
위대하다,adj,great,"very big, large scale"
초록,noun,green,colour
녹색,noun,green,colour
록색,noun,green,colour
초록색,noun,green,colour
그룹,noun,group,number of things or persons being in some relation to each other
그루빠,noun,group,number of things or persons being in some relation to each other
집단,noun,group,number of things or persons being in some relation to each other
군,noun,group,number of things or persons being in some relation to each other
자라다,verb,grow,(intransitive) to become bigger
추측,noun,guess,prediction about the outcome of something
기타,noun,guitar,musical instrument
체육관,noun,gym,sporting facility specialized for lifting weights and exercise
헬스장,noun,gym,sporting facility specialized for lifting weights and exercise
털,noun,hair,pigmented filament of keratin on the skin of humans and other mammals
머리,noun,hair,pigmented filament of keratin on the skin of humans and other mammals
반,noun,half,one of two equal parts into which anything may be divided
손,noun,hand,part of the fore limb
일어나다,verb,happen,to occur
발생하다,verb,happen,to occur
행복하다,adj,happy,"contented, joyous"
기뻐하다,adj,happy,"contented, joyous"
기쁘다,adj,happy,"contented, joyous"
모자,noun,hat,a head covering
싫어하다,verb,hate,to dislike intensely
미워하다,verb,hate,to dislike intensely
있다,verb,have,to possess
가지다,verb,have,to possess
갖다,verb,have,to possess
있으시다,verb,have,to possess
머리,noun,head,part of the body
건강,noun,health,"state of being free of physical or psychological disease, illness, or malfunction"
건강하다,adj,healthy,enjoying good health
듣다,verb,hear,to perceive with the ear
도움,noun,help,action given to provide assistance
원조,noun,help,action given to provide assistance
여기,adv,here,"in, on, or at this place"
높다,adj,high,elevated; tall
역사,noun,history,aggregate of past events
력사,noun,history,aggregate of past events
취미,noun,hobby,activity done for enjoyment in spare time
새홀리기,noun,hobby,Falco subbuteo
집에,adv,home,at home
숙제,noun,homework,work that is done at home
바라다,verb,hope,"to want something to happen, with expectation that it might"
희망하다,verb,hope,"to want something to happen, with expectation that it might"
원하다,verb,hope,"to want something to happen, with expectation that it might"
말,noun,horse,members of the species Equus ferus
병원,noun,hospital,large medical facility
의원,noun,hospital,large medical facility
뜨겁다,adj,hot,having a high temperature
호텔,noun,hotel,establishment providing accommodation
여관,noun,hotel,establishment providing accommodation
려관,noun,hotel,establishment providing accommodation
객사,noun,hotel,establishment providing accommodation
시,noun,hour,time period of sixty minutes
시간,noun,hour,time period of sixty minutes
집,noun,house,human abode
댁,noun,house,human abode
얼마나,adv,how,to what degree
그러나,adv,however,nevertheless
하지만,adv,however,nevertheless
-(으)나,adv,however,nevertheless
-지만,adv,however,nevertheless
-만,adv,however,nevertheless
배고프다,adj,hungry,affected by hunger; desirous of food
